epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1159.51,0.6263,2.65683,1.25847,0.26371,0.4581,0.35011,0.24839,0.86031,2.05005,1.3824,0.00033033,0.00033033,0.00033033
2,1197.13,0.66477,1.95295,1.28046,0.66648,0.50497,0.51067,0.36615,0.82866,2.01696,1.40407,0.000650523,0.000650523,0.000650523
3,1236.8,0.69088,1.74958,1.28576,0.58522,0.41657,0.42052,0.27139,0.85082,2.61021,1.44102,0.000957516,0.000957516,0.000957516
4,1275.63,0.69585,1.63801,1.27519,0.41732,0.6106,0.50906,0.39679,0.74329,1.59387,1.35086,0.0009406,0.0009406,0.0009406
5,1314.65,0.69737,1.52871,1.30287,0.50502,0.66034,0.60572,0.47374,0.69158,1.43864,1.25065,0.0009208,0.0009208,0.0009208
6,1352.39,0.63903,1.38079,1.23905,0.57836,0.53763,0.57055,0.45894,0.68255,1.38089,1.21107,0.000901,0.000901,0.000901
7,1392.06,0.64692,1.35676,1.24206,0.62764,0.53674,0.58107,0.3939,1.00126,1.53802,1.51621,0.0008812,0.0008812,0.0008812
8,1430.95,0.60538,1.28705,1.21324,0.58414,0.67507,0.68728,0.54085,0.67661,1.26599,1.22056,0.0008614,0.0008614,0.0008614
9,1470.26,0.60276,1.22512,1.22054,0.52101,0.57849,0.59758,0.49551,0.58095,1.6515,1.12392,0.0008416,0.0008416,0.0008416
10,1507.93,0.57411,1.14459,1.19978,0.64077,0.66715,0.71099,0.60092,0.5687,1.11218,1.0824,0.0008218,0.0008218,0.0008218
11,1547.02,0.5665,1.14701,1.19523,0.57967,0.72384,0.68776,0.58551,0.57012,1.12244,1.09958,0.000802,0.000802,0.000802
12,1586.12,0.57448,1.10971,1.19231,0.57209,0.68058,0.70512,0.56045,0.66443,1.19182,1.15847,0.0007822,0.0007822,0.0007822
13,1624.95,0.56368,1.08783,1.19056,0.66484,0.73245,0.77324,0.6625,0.55414,1.00803,1.05983,0.0007624,0.0007624,0.0007624
14,1663.94,0.55289,1.06397,1.18664,0.71239,0.76588,0.7721,0.63848,0.60092,1.00261,1.0824,0.0007426,0.0007426,0.0007426
15,1701.64,0.52985,1.04572,1.17734,0.68887,0.75175,0.76824,0.66705,0.52179,0.89817,1.02426,0.0007228,0.0007228,0.0007228
16,1740.93,0.53413,1.05095,1.16819,0.68487,0.61165,0.72587,0.6132,0.54025,1.17995,1.06202,0.000703,0.000703,0.000703
17,1779.45,0.52633,0.99896,1.16083,0.70306,0.78093,0.81647,0.72826,0.45767,0.86331,0.9803,0.0006832,0.0006832,0.0006832
18,1818.94,0.5364,0.99087,1.17353,0.72135,0.76617,0.80555,0.70829,0.47099,0.84557,1.00307,0.0006634,0.0006634,0.0006634
19,1856.63,0.5115,0.95266,1.15532,0.77677,0.72316,0.79876,0.70767,0.47129,0.90535,0.98794,0.0006436,0.0006436,0.0006436
20,1895.59,0.50893,0.9383,1.15216,0.7546,0.76209,0.83813,0.7329,0.47652,0.85379,0.99605,0.0006238,0.0006238,0.0006238
21,1934.83,0.51336,0.93884,1.14788,0.64743,0.72993,0.77757,0.70155,0.44015,0.97568,0.96315,0.000604,0.000604,0.000604
22,1973.63,0.49126,0.89127,1.13682,0.74873,0.72206,0.79341,0.70817,0.46639,0.94147,0.99246,0.0005842,0.0005842,0.0005842
23,2012.11,0.4866,0.87873,1.13503,0.71969,0.75597,0.8174,0.73897,0.45083,0.85492,0.97336,0.0005644,0.0005644,0.0005644
24,2050.65,0.48264,0.91817,1.13198,0.73604,0.77776,0.82006,0.72804,0.45527,0.85202,0.98585,0.0005446,0.0005446,0.0005446
