epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.645,1.30841,3.83343,1.2487,0.27711,0.20532,0.10344,0.07365,1.18597,2.68346,1.16809,0.00015109,0.00015109,0.00015109
2,234.589,1.28744,2.63483,1.22743,0.21928,0.18043,0.09829,0.06654,1.26832,2.76298,1.23152,0.000296762,0.000296762,0.000296762
3,351.214,1.32712,2.47587,1.23623,0.25238,0.19094,0.12114,0.07983,1.30459,2.59804,1.23336,0.000436428,0.000436428,0.000436428
4,469.67,1.3203,2.39605,1.23754,0.26026,0.19313,0.11898,0.07948,1.33435,2.66171,1.26308,0.000427973,0.000427973,0.000427973
5,585.707,1.27688,2.25771,1.21441,0.31536,0.22225,0.15135,0.10271,1.25609,2.44037,1.21874,0.000418964,0.000418964,0.000418964
6,702.623,1.23849,2.10454,1.19686,0.31402,0.21973,0.16738,0.11647,1.27204,2.3768,1.22072,0.000409955,0.000409955,0.000409955
7,821.593,1.23547,2.00805,1.17802,0.28601,0.24515,0.17325,0.11866,1.25616,2.38575,1.21109,0.000400946,0.000400946,0.000400946
8,939.201,1.21583,1.93381,1.17153,0.29153,0.25802,0.19833,0.13918,1.21702,2.28175,1.18414,0.000391937,0.000391937,0.000391937
9,1057.76,1.19586,1.81736,1.16236,0.31914,0.23663,0.21146,0.1517,1.19057,2.26622,1.17587,0.000382928,0.000382928,0.000382928
10,1176.34,1.17366,1.72774,1.15097,0.37912,0.23857,0.21058,0.14981,1.2157,2.27463,1.18375,0.000373919,0.000373919,0.000373919
11,1293.25,1.14628,1.61554,1.13471,0.3305,0.27902,0.23237,0.1654,1.19505,2.21325,1.1691,0.00036491,0.00036491,0.00036491
12,1412.75,1.13122,1.54244,1.12431,0.37008,0.27208,0.24674,0.18243,1.16758,2.1891,1.17888,0.000355901,0.000355901,0.000355901
13,1531.11,1.1178,1.47244,1.11898,0.38267,0.28573,0.25882,0.18648,1.19146,2.17952,1.17378,0.000346892,0.000346892,0.000346892
14,1653.75,1.08637,1.36971,1.09909,0.37931,0.29624,0.26778,0.19303,1.19241,2.143,1.161,0.000337883,0.000337883,0.000337883
15,1777.4,1.0872,1.32466,1.09335,0.38011,0.27553,0.24541,0.17986,1.1595,2.21621,1.15689,0.000328874,0.000328874,0.000328874
16,1897.59,1.05939,1.27916,1.08372,0.48028,0.27885,0.26601,0.19586,1.13793,2.21078,1.14469,0.000319865,0.000319865,0.000319865
17,2018.39,1.05983,1.20677,1.08145,0.41665,0.29392,0.27566,0.19773,1.20733,2.17654,1.17045,0.000310856,0.000310856,0.000310856
18,2137.61,1.03627,1.16688,1.07386,0.45834,0.30839,0.30689,0.22476,1.14344,2.06037,1.14716,0.000301847,0.000301847,0.000301847
19,2256.63,1.03143,1.11817,1.06367,0.46155,0.31651,0.30704,0.22596,1.13641,2.11467,1.14704,0.000292838,0.000292838,0.000292838
20,2376.82,1.02343,1.09508,1.05999,0.4944,0.32469,0.32458,0.23845,1.14943,2.03956,1.14007,0.000283829,0.000283829,0.000283829
21,2495.28,1.00869,1.05941,1.04825,0.5451,0.32423,0.33226,0.24823,1.1281,1.99939,1.14593,0.00027482,0.00027482,0.00027482
22,2615.76,0.98948,0.9857,1.0441,0.58257,0.31536,0.34293,0.2543,1.12244,2.02443,1.14293,0.000265811,0.000265811,0.000265811
